,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,description,url,subtitle
4793,1,6,0,0,6.5577,0.0592,2.572,3.01,0.976,,,690.0,K,0.65,-0.879,4.45,,,,,
4794,1,6,0,0,9.961881,0.0783,2.207,3.86,1.98,,,600.0,K,0.65,-0.879,4.45,,,,,
4795,1,6,0,0,15.231915,0.1039,2.287,7.72,3.6,,,521.0,K,0.65,-0.879,4.45,,,,,
4796,1,6,0,0,20.7095,0.1275,2.87,3.94,0.915,,,470.0,K,0.65,-0.879,4.45,,,,,
4797,1,1,0,0,3.208664,0.04882,16.141,222.47988,0.28,,2300.0,1927.0,F,1.51,0.736,3.94,,,,,
4799,1,1,0,0,4.860674,0.061,12.778,731.00534,2.0,0.043,,1375.0,,1.04,,4.24,,,,,
4800,1,1,0,0,9.5739,0.1001,11.657,68.01528,0.252,,,,,1.46,0.74,4.1,,,,,
4802,1,1,0,0,29.02,0.1587,12.89,209.7678,0.54,0.118,2.9,362.0,M0,0.63,,4.67,,,,,
4804,1,1,0,0,8.872078,0.092,12.52,1398.44499,3.9,0.41,,1167.0,,1.32,,4.17,,,,,
4813,1,1,0,0,7.851928,0.057,2.19,6.37,3.34,0.0,4.0,395.0,M4.5 V,0.34,-1.886,4.91,,,,,
4814,1,1,0,0,8.60077,0.075,10.761,260.61929,1.14,0.07,,1188.0,,1.12,,4.19,,,,,
4817,1,1,0,0,260.79,0.828,11.321,875.61726,3.32,0.3683,2.71,348.0,G5,1.11,0.406,4.06,,,,,
4818,1,1,0,0,6.90683,,11.4,206.58846,0.76,0.08,1429.0,,,1.53,,3.7,,,,,
4819,2,1,0,0,2.1225735,0.03319,19.84,298.7587,0.06,0.0,1600.0,1763.0,,1.08,0.25,4.28,,,,,
4820,1,1,0,0,1.1947268,0.02234,3.51,26.0,3.31,0.0,2000.0,1860.0,G V,1.03,-0.004,4.42,,,,,
4821,1,1,0,0,10.695264,0.08911,3.03,13.8,2.73,0.032,,805.0,K0 V,0.82,,4.37,,,,,
4824,1,1,0,0,8.001968,0.0854,11.153,203.41018,0.8,0.174,406.0,1259.0,,1.3,0.484,4.16,,,,,
4825,1,1,0,0,3.5315902,0.05009,14.37,502.16888,0.93,0.0,1356.0,1688.0,,1.34,0.533,4.17,,,,,
4833,1,1,0,0,4.3474032,0.0543,10.368,105.83686,0.52,0.0,923.6,1534.0,,1.13,0.436,4.0,,,,,
4838,1,1,0,0,5.983944,0.0672,10.929,63.88351,0.269,0.0,558.0,1352.0,,1.13,0.405,4.04,,,,,
4839,1,1,0,0,18.38818,0.1528,7.163,43.86032,0.65,0.0,186.0,1027.0,,1.41,0.636,4.04,,,,,
4840,1,1,0,0,2.9887615,0.04145,13.641,260.61929,0.563,0.0,699.0,1431.0,,1.06,0.079,4.38,,,,,
4842,1,1,0,0,3.6977104,0.0345,2.77,8.8,2.28,0.425,19.0,531.0,M2 V,0.39,,4.83,,,,,
4843,1,3,0,0,3.3601538,0.03197,1.206,1.58,4.97,0.034,,581.0,M,0.39,-1.712,4.87,,,,,
4844,1,3,0,0,5.6605731,0.04526,2.355,6.15,2.6,0.027,,488.0,M,0.39,-1.712,4.87,,,,,
4845,1,3,0,0,11.379573,0.0721,2.133,4.78,2.72,0.032,,387.0,M,0.39,-1.712,4.87,,,,,
4846,2,1,0,0,2.0180231,0.03144,12.98,721.47048,1.82,0.0,818.5,1488.0,,1.02,-0.093,4.49,,,,,
4848,2,1,0,0,3.119999,0.04289,23.539,375.03752,0.065,0.0,841.3,1498.0,,1.08,0.19,4.29,,,,,
4849,1,1,0,0,3.936551,0.043,8.295,82.63539,0.8,0.05,39.0,690.0,M1,0.63,,4.67,,,,,
4850,1,1,0,0,9.088516,0.0813,12.599,324.18498,0.89,0.0,68.6,801.0,,0.87,-0.344,4.58,,,,,
4851,2,1,0,0,2.154849,0.027,11.321,222.47988,0.85,0.03,54.0,750.0,M2,0.53,,4.75,,,,,
4852,1,1,0,0,3.438753,0.03845,12.0,85.3,0.27,0.14,55.4,759.0,M0 V,0.64,-1.06,4.68,,,,,
4853,1,1,0,0,4.5445697,0.0354,6.0,16.5,0.424,0.32,7.42,463.0,M4,0.28,-2.032,4.92,,,,,
4856,1,1,0,0,3.8016122,0.05222,13.574,457.67291,1.01,0.0,1013.0,1570.0,,1.31,0.439,4.24,,,,,
4857,2,2,0,0,5.19672,0.056,2.68,7.17,2.05,0.163,154.57,981.0,G9 V,0.85,,4.49,,,,,
4858,2,2,0,0,16.06819,0.1189,5.09,16.42,0.685,0.152,34.32,674.0,G9 V,0.85,,4.49,,,,,
4859,1,3,0,0,0.490047,0.0113,1.28,3.07,8.0,0.0,,1862.0,,0.78,,4.6,,,,,
4861,1,3,0,0,12.46103,0.098,3.29,9.9,1.36,0.0,,633.0,,0.78,,4.6,,,,,
4868,1,4,0,0,0.548177,0.01189,1.166,1.42,4.89,0.063,1138.0,1617.0,K6 V,0.74,,4.62,,,,,
4876,1,1,0,0,6.387597,0.052,9.303,127.13136,0.93,0.0,,565.0,M0.5 V,0.53,-1.31,4.7,,,,,
4877,1,1,0,0,2.3266508,0.0296,5.82,61.5,1.72,0.0,94.1,867.0,,0.64,-1.095,4.67,,,,,
4881,1,1,0,0,75.12375,0.332,11.31,419.5335,1.6,0.018,9.6,441.0,G3 V,0.89,1.057,4.2,,,,,
4882,1,1,0,0,14.574071,0.1291,12.173,1147.36055,3.5,0.298,,1061.0,F V,1.35,0.547,4.22,,,,,
4883,1,1,0,0,6.9839095,0.0723,12.229,1910.14873,5.74,0.151,,1180.0,G V,1.03,0.227,4.27,,,,,
4884,1,5,0,0,0.446578,0.01055,1.423,1.59,3.0,0.0,,,G9 V,0.79,,4.47,,,,,
4885,1,5,0,0,10.779,0.08809,2.878,5.4,1.3,0.06,,,G9 V,0.79,,4.47,,,,,
4886,1,5,0,0,25.62,0.1569,2.53,11.95,4.1,0.051,,,G9 V,0.79,,4.47,,,,,
4887,1,5,0,0,77.23,0.3274,2.67,16.0,4.6,0.061,,,G9 V,0.79,,4.47,,,,,
4888,1,5,0,0,16.287,0.1174,2.32,3.0,1.3,0.0,,750.0,,0.81,-0.282,4.5,,,,,
4889,1,1,0,0,1.651144,0.02734,11.433,464.98529,1.7,0.072,1423.0,1714.0,,1.0,0.033,4.36,,,,,
4891,1,1,0,0,3.4095675,0.0486,11.882,2011.8639,6.58,0.072,,1586.0,,1.31,0.394,4.3,,,,,
4892,1,1,0,0,5.0037775,0.06608,19.851,279.6904,0.195,0.05,,1749.0,,1.54,0.834,3.99,,,,,
4893,1,1,0,0,1.977143,0.025,5.25,23.6,0.91,0.0,38.4,635.0,M2 V,0.42,-1.614,4.81,,,,,
4901,1,2,0,0,5.6057,0.06,2.28,9.79,4.51,0.04,,1038.0,G,0.92,,4.45,,,,,
4902,1,2,0,0,12.2737,0.1011,2.63,9.32,2.82,0.04,,800.0,G,0.92,,4.45,,,,,
4903,1,2,0,0,8.24661,0.0652,1.85,4.0,3.4,0.06,11.5,514.0,M1 V,0.54,-1.31,4.73,,,,,
4904,1,2,0,0,15.6653,0.1,2.02,5.3,3.5,0.04,4.9,415.0,M1 V,0.54,-1.31,4.73,,,,,
4906,1,1,0,0,1.392978,0.02177,2.926,18.467,4.03,,412.0,1253.0,K4 V,0.71,-0.71,4.61,,,,,
4909,1,1,0,0,0.76552414,0.01598,3.444,39.09,5.2,0.0,,,G,0.93,,4.48,,,,,
4911,1,1,0,0,3.739494,0.04666,13.126,211.99261,0.515,0.024,337.0,1192.0,,0.97,-0.137,4.5,,,,,
4914,1,1,0,0,3.6849729,0.04963,9.55,55.30242,0.35,0.14,1393.0,1526.0,,1.2,0.535,3.96,,,,,
4915,1,2,0,0,1.8237305,0.02636,2.765,9.1,2.34,,188.0,941.0,K V,0.73,,4.55,,,,,
4917,1,7,0,0,1.510826,0.01154,1.116,1.374,5.44194,,4.15,,,0.09,-3.257,5.24,,,,,
4918,1,7,0,0,2.421937,0.0158,1.097,1.308,5.46399,,2.21,,,0.09,-3.257,5.24,,,,,
4919,1,7,0,0,4.049219,0.02227,0.788,0.388,4.36678,,1.11,,,0.09,-3.257,5.24,Terrestrial,The third planet from its star is illustrated here with a narrow band of water between the hot day side and icy night side of the planet.,The third planet from its star is illustrated here with a narrow band of water between the hot day side and icy night side of the planet.,/exoplanet-catalog/5502/trappist-1-d/,A rocky world outside our solar system
4920,1,7,0,0,6.101013,0.02925,0.92,0.692,4.9016,,0.65,,,0.09,-3.257,5.24,Terrestrial,TRAPPIST-1 e is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.692 EarthsCOMMA it takes 6.1 days to complete one orbit of its starCOMMA and is 0.02925 AU from its star. Its discovery was announced in 2017.,TRAPPIST-1 e is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.692 EarthsCOMMA it takes 6.1 days to complete one orbit of its starCOMMA and is 0.02925 AU from its star. Its discovery was announced in 2017.,/exoplanet-catalog/3453/trappist-1-e/,A rocky world outside our solar system
4921,1,7,0,0,9.20754,0.03849,1.045,1.039,5.0229,,0.37,,,0.09,-3.257,5.24,,,,,
4922,1,7,0,0,12.352446,0.04683,1.129,1.321,5.05599,,0.25,,,0.09,-3.257,5.24,,,,,
4923,1,7,0,0,18.772866,0.06189,0.755,0.326,4.16278,,0.14,,,0.09,-3.257,5.24,Terrestrial,TRAPPIST-1 h is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.326 EarthsCOMMA it takes 18.8 days to complete one orbit of its starCOMMA and is 0.06189 AU from its star. Its discovery was announced in 2017.,TRAPPIST-1 h is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.326 EarthsCOMMA it takes 18.8 days to complete one orbit of its starCOMMA and is 0.06189 AU from its star. Its discovery was announced in 2017.,/exoplanet-catalog/3459/trappist-1-h/,A rocky world outside our solar system
4937,1,1,0,0,1.30618581,0.02282,14.975,607.03,0.994,0.0,,,,0.93,-0.204,4.4,,,,,
4939,1,1,0,0,1.48224686,0.02459,13.384,568.9157,1.31,,,1480.0,,0.9,,4.52,,,,,
4953,2,1,0,0,2.5199454,0.03889,16.623,271.415,0.348,0.0,,,,1.24,0.441,,,,,,
4954,1,1,0,0,3.0927616,0.03781,12.106,1001.12,4.14,,,1370.0,,0.75,,,,,,,
4957,1,1,0,0,0.925542,0.01985,17.127,473.547,0.55,,,2508.0,F8 V,1.22,0.413,4.22,,,,,
4958,2,1,0,0,1.7554137,0.02918,12.745,404.263,1.074,0.0,,1516.0,G8,1.08,,4.5,,,,,
4959,1,1,0,0,7.87288,0.075,10.761,572.094,2.65,0.0,,900.0,K2,0.89,,4.2,,,,,
4961,1,2,0,0,5.7214742,,,30.5,0.134,0.06,,,,0.68,-0.879,4.63,,,,,
4965,1,1,0,0,4.54216875,0.05885,15.793,150.96925,0.228,0.0,,1496.0,G1,1.32,,4.2,,,,,
4966,2,1,0,0,1.5487743,0.02851,15.009,562.24127,0.97,0.012,,2043.0,G0,1.29,,4.3,,,,,
4968,1,1,0,0,4.0460435,0.05453,16.141,163.36462,0.233,0.0,,1729.0,F6,1.32,,4.1,,,,,
4969,1,1,0,0,2.49979,0.0363,15.693,390.9309,0.7,0.058,,1600.0,G5,1.02,,4.26,,,,,
4970,3,1,0,0,1.09142,0.0232,21.712,465.62095,0.267,,,2593.0,,1.43,,,,,,,
4971,1,1,0,0,3.6112706,0.0514,16.511,1541.4755,2.0,0.057,,1880.0,F5,1.39,,4.04,,,,,
4972,1,1,0,0,1.27492504,0.02596,19.649,367.72747,0.266,0.0,,,,1.36,,,,,,,
4973,2,1,0,0,2.9776412,0.04263,14.773,285.72917,0.521,0.0,,1520.0,G5,1.17,,4.29,,,,,
4974,1,1,0,0,3.37265,0.0449,13.899,190.698,0.43,0.017,,1400.0,F9,1.07,,4.44,,,,,
4977,2,1,0,0,4.17806203,0.0484,14.695,52.3466,0.097,0.0,,,,0.95,,,,,,,
4978,2,1,0,0,5.748145,0.0628,10.424,317.83,1.6,0.096,,1100.0,G1,1.0,,4.53,,,,,
4980,1,1,0,0,11.55098,0.1012,9.976,390.9309,2.34,0.0,,833.0,G6,1.04,,4.49,,,,,
4981,1,1,0,0,5.322023,0.0607,13.675,85.8141,0.2,0.0,,1460.0,G0,1.06,,4.09,,,,,
4984,1,1,0,0,2.176423,0.0345,13.563,368.6828,0.88,0.17,,1790.0,G4,1.16,,4.18,,,,,
4985,1,1,0,0,1.4013794,0.0243,14.572,603.877,1.16,0.0,,,G5 V,0.98,,4.47,,,,,
4986,1,1,0,0,5.215357,0.0661,15.468,479.9233,0.773,,,1742.0,,1.41,,3.9,,,,,
4987,1,1,0,0,3.634433,0.0494,12.218,387.7526,1.2,,,1590.0,,1.22,,4.25,,,,,
4988,2,1,0,0,5.924262,0.062,8.967,37.18611,0.31,0.0,,910.0,K0,0.92,,4.59,,,,,
4990,2,1,0,0,2.2359835,0.0323,16.141,775.5052,1.1,0.047,,1320.0,K0,0.9,,4.51,,,,,
4991,1,1,0,0,3.310651,0.0469,13.563,854.9627,1.98,0.0,,1540.0,F9,1.25,,4.26,,,,,
4992,1,1,0,0,2.052868,0.0347,17.15,266.9772,0.31,0.0,,2000.0,F8,1.33,,4.13,,,,,
4993,1,1,0,0,2.2783152,0.0316,9.528,139.8452,0.95,0.0,,1260.0,K2 V,0.81,,4.53,,,,,
4994,2,1,0,0,1.7690381,0.0261,10.088,282.8687,1.6,0.0,,1200.0,K2 V,0.76,,4.65,,,,,
4995,1,1,0,0,4.60273,0.0549,12.498,87.40325,0.263,0.0,,1404.0,G4,1.04,,,,,,,
4996,1,2,0,0,8.803809,0.08215,8.474,91.21675,0.831,0.208,,,,0.95,-0.139,4.5,,,,,
4999,1,1,0,0,5.644207,0.0694,11.994,2688.8418,8.54,0.3775,,1460.0,F8,1.39,,4.15,,,,,
5000,1,1,0,0,4.5334775,0.055,13.305,100.43378,0.25065,0.0,,1312.0,,1.08,,,,,,,
5001,1,1,0,0,3.332609,0.048,17.374,123.9537,0.15,0.009,1400.0,1700.0,G0,1.34,,4.1,,,,,
5002,1,1,0,0,3.836169,0.0453,5.717,40.68224,1.3,0.007,150.0,970.0,K3,0.84,,4.6,,,,,
5004,1,1,0,0,3.656333,0.0517,11.994,886.7457,3.1,0.0,,1590.0,F6 V,1.38,,4.3,,,,,
5005,1,1,0,0,3.840401,0.0538,15.468,174.8065,0.28,0.0,,1850.0,F9,1.41,,3.94,,,,,
5007,2,1,0,0,3.7684952,0.0452,12.218,88.35674,0.284,0.0,,1119.0,K0 V,0.87,,,,,,,
5008,1,1,0,0,5.4060425,0.0673,12.812,791.3967,2.2,,990.0,1557.0,,1.39,0.647,4.11,,,,,
5009,1,1,0,0,9.62468,0.0871,11.209,1652.716,6.9,0.434,,910.0,K0,0.95,,4.33,,,,,
5010,1,1,0,0,1.6096884,0.0266,13.473,594.3421,1.42,,1200.0,1638.0,,0.97,-0.076,4.41,,,,,
5011,1,1,0,0,1.7771255,0.02818,12.644,676.9779,1.96,0.0,,1610.0,G2 V,0.95,,,,,,,
5012,1,1,0,0,3.465509,0.04823,14.123,209.13214,0.44,0.0,,1624.0,G6,1.25,,,,,,,
5013,1,1,0,0,5.44354,0.0641,7.062,32.10083,0.54,0.0,440.0,1270.0,F9 V,1.19,,4.34,,,,,
5015,2,1,0,0,4.153658,0.0519,16.814,133.4886,0.16,0.0,,1340.0,F9 V,1.08,,4.37,,,,,
5016,1,1,0,0,5.6114118,0.0681,14.617,178.30263,0.33,0.0,,1604.0,F8,1.34,,3.96,,,,,
5018,1,1,0,0,2.34478022,0.0337,12.285,508.528,1.6,,680.0,1422.0,,0.93,-0.114,4.47,,,,,
5019,1,1,0,0,3.8186244,0.0504,10.985,344.52772,1.5,0.0,,1642.0,G0,1.17,,4.08,,,,,
5020,1,1,0,0,5.477433,0.0694,17.598,149.3801,0.16,0.0,,1740.0,F1 V,1.49,,4.05,,,,,
5021,2,1,0,0,1.38665318,0.0248,13.451,1172.7927,2.84,0.0,,1880.0,G3,1.05,,4.37,,,,,
5022,1,1,0,0,4.2337005,0.05503,16.107,104.88337,0.135,0.0,901.9,1528.0,,1.24,0.436,4.27,,,,,
5023,1,1,0,0,3.0652907,0.04403,13.54,314.6517,0.74,0.0,,1571.0,F7,1.21,,4.36,,,,,
5024,1,1,0,0,3.899052,0.0535,16.87,271.74465,0.31,0.0,,1721.0,F9,1.34,,4.0,,,,,
5025,1,1,0,0,3.071722,0.03957,17.71,161.45764,0.172,,,1142.0,K2,0.88,,4.49,,,,,
5026,1,1,0,0,3.3448285,0.0558,20.288,527.5978,0.37,0.0,,2470.0,A1 IV-V,2.07,,4.31,,,,,
5027,2,2,0,0,0.94145223,0.02024,13.899,3241.84975,6.6,0.0051,5805.0,2429.0,,1.29,0.428,4.31,,,,,
5029,2,1,0,0,3.409264,0.048,13.899,286.047,0.61,0.0,,1540.0,F7 V,1.3,,4.42,,,,,
5030,1,1,0,0,4.5195064,0.05427,13.271,95.03117,0.237,,,1186.0,G2,1.04,,4.49,,,,,
5031,1,1,0,0,3.3769848,0.0451,9.528,47.03884,0.318,0.0,,1479.0,G5,1.08,,4.22,,,,,
5032,1,1,0,0,4.1117771,0.04632,16.477,159.55066,0.21,,,1111.0,G9,0.78,,4.45,,,,,
5033,1,1,0,0,5.1817,0.0627,14.908,181.1631,0.32,0.0,,1480.0,G0 V,1.23,,4.09,,,,,
5034,1,1,0,0,9.38755,0.0904,14.011,311.4734,0.66,0.24,,1160.0,G0 V,1.12,,4.13,,,,,
5035,1,1,0,0,5.026799,0.06,12.442,1341.2426,3.821,0.33,,,F,1.22,,4.19,,,,,
5036,1,1,0,0,5.147878,0.0653,18.383,254.264,0.224,0.0,,,F,1.54,,3.72,,,,,
5037,1,1,0,0,2.724033,0.05053,18.147,632.47853,0.62199,0.0,,3353.0,,2.03,,3.9,,,,,
5038,1,1,0,0,0.78883852,0.01652,15.861,366.77398,0.506,0.0126,3320.0,2113.0,,0.96,-0.043,4.42,,,,,
5040,1,1,0,0,2.8786765,0.0408,13.787,731.009,1.62,0.0,,1620.0,G0 V,1.09,,4.24,,,,,
5041,2,1,0,0,2.152175,0.03144,12.117,295.89973,0.914,,492.0,1311.0,,0.9,-0.313,4.51,,,,,
5042,2,1,0,0,4.8996284,0.06,16.388,98.841,0.132,0.0,,1379.0,F9,1.2,,4.23,,,,,
5043,1,1,0,0,4.322482,0.052,11.99,95.345,0.32,0.0,,,G3 V,,,,,,,,
5049,1,1,0,0,3.40883495,0.0442,13.664,282.54945,0.65116,0.0,,1456.0,,0.99,,,,,,,
5052,1,1,0,0,3.4059096,0.04659,17.363,151.916,0.172,0.0,,,,1.16,,,,,,,
5054,2,1,0,0,1.21987,0.0239,17.856,665.21819,0.689,,,2782.0,,1.5,,,,,,,
5057,2,1,0,0,1.53736596,0.02677,14.874,750.39663,1.26,,,1733.0,,1.08,,4.49,,,,,
5058,1,1,0,0,3.577469,0.0446,13.002,572.07,1.53,0.0,,,,0.93,-0.021,,,,,,
5060,1,1,0,0,4.055259,0.0486,14.235,88.989,0.186,0.0,,,,0.93,,,,,,,
5064,1,1,0,0,4.9816819,0.0561,12.576,167.49641,0.464,,,1021.0,,0.95,,4.51,,,,,
5065,1,1,0,0,0.813475,0.0142,10.424,565.714,2.939,0.0,,,,0.58,,,,,,,
5066,1,1,0,0,2.423804,0.03453,12.33,276.5121,0.811,,533.0,1337.0,G8 V,0.94,-0.198,4.49,,,,,
5067,2,1,0,0,3.126089,0.03963,10.604,306.38812,1.418,,294.0,1153.0,,0.85,-0.336,4.5,,,,,
5068,1,1,0,0,1.43036763,0.02335,13.159,607.0553,1.467,,,1636.0,G6 V,0.83,,4.49,,,,,
5069,1,4,0,0,4.1591492,,12.64,363.6,0.989,,,,,1.04,,4.34,,,,,
5071,1,4,0,0,9.03055,,3.567,14.2,1.72,0.01,,,,1.04,,4.34,,,,,
5072,1,4,0,0,0.7895933,,1.808,6.77,6.29,,,,,1.04,,4.34,,,,,
5075,1,1,0,0,1.6284279,0.0267,12.184,502.15,1.64,0.038,,1706.0,,0.96,,4.39,,,,,
5076,1,1,0,0,1.9551,0.0293,13.07,466.8287,1.325,,,1395.0,,0.89,,,,,,,
5077,1,1,0,0,1.7497798,0.0272,14.24,146.2,0.29,0.0,,1315.0,K2 V,0.87,,4.58,,,,,
5078,1,2,0,0,3.3098443,0.04101,12.038,677.61356,2.28,0.03,,1053.0,,0.84,-0.463,4.55,,,,,
5083,1,1,0,0,2.83891856,0.03769,11.769,204.68252,0.693,,,1338.0,,0.89,,4.45,,,,,
5085,1,1,0,0,7.919585,0.0697,8.687,274.276,2.4,0.1,,670.0,K5 V,0.72,,4.72,,,,,
5091,2,1,0,0,1.5732918,0.02648,14.247,403.945,0.823,0.0,,1689.0,G7,1.0,-0.022,4.39,,,,,
5092,1,1,0,0,2.3114243,0.0334,12.464,492.62,1.5,0.0,,1480.0,G6,0.93,,4.4,,,,,
5097,1,1,0,0,4.9546416,0.0617,14.908,305.1168,0.55,,,1487.0,,1.28,,4.23,,,,,
5098,2,1,0,0,3.7130203,0.04853,13.047,187.512,0.499,0.0,,1387.0,G4,1.11,,4.31,,,,,
5103,2,1,0,0,2.484193,0.0375,14.235,340.06,0.69,0.0,,1710.0,F9,1.14,,4.29,,,,,
5104,2,1,0,0,1.809886,0.033,20.512,292.4036,0.201,0.0,,2160.0,F7,1.46,,4.13,,,,,
5105,2,1,0,0,1.36002854,0.02335,13.787,529.81995,1.115,0.0074,1440.0,1715.0,,0.9,-0.129,4.48,,,,,
5110,1,1,0,0,3.06785234,0.0344,11.198,170.99254,0.717,0.002,,825.0,,0.58,,4.66,,,,,
5111,1,1,0,0,2.7164762,0.03908,16.018,231.69807,0.332,0.066,,1623.0,,1.08,0.246,4.26,,,,,
5113,1,1,0,0,4.971252,0.059,11.657,95.349,0.35,0.0,,1120.0,G8,1.11,,4.44,,,,,
5114,1,1,0,0,8.5234865,0.0771,10.559,220.565,1.104,0.0,,797.0,K0,0.84,,4.4,,,,,
5115,2,1,0,0,2.6556777,0.039,13.899,402.05495,0.88,0.0,,1452.0,G5 V,1.09,,,,,,,
5118,1,1,0,0,3.3564227,0.0427,11.657,1875.197,7.0,0.193,,1120.0,K3,0.92,,4.51,,,,,
5119,1,1,0,0,3.916243,0.0562,18.271,200.2329,0.193,0.0,,1840.0,F6,1.55,,4.03,,,,,
5120,1,1,0,0,2.798581,0.037,11.545,425.8922,1.59,0.0,,1160.0,K3,0.84,,4.3,,,,,
5121,1,1,0,0,2.1746742,0.0348,16.376,255.85315,0.346,0.0,,1871.0,F7,1.19,,4.26,,,,,
5122,1,1,0,0,2.7325321,0.04211,17.901,467.2101,0.479,0.0,,1942.0,F4,1.33,,4.2,,,,,
5126,1,1,0,0,3.4252602,0.0453,13.45,152.55,0.37,0.0,,1285.0,G8,1.06,,4.42,,,,,
5128,2,1,0,0,2.96264036,0.03762,12.823,293.03926,0.764,,,1171.0,,0.81,,4.61,,,,,
5133,1,1,0,0,3.352057,0.047,16.7,1274.44,1.61,0.1,,1500.0,F6 V,1.2,,4.4,,,,,
5134,1,1,0,0,1.0187068,0.01855,15.278,355.9696,0.54,0.0,,2000.0,K2 V,0.82,,4.6,,,,,
5135,1,1,0,0,2.663416,0.0282,11.561,188.15536,0.72,0.012,,2198.0,K7 V,0.65,,,,,,,
5136,1,1,0,0,1.7522239,0.0234,12.993,232.33373,0.62,0.057,,2470.0,K6 V,0.73,,,,,,,
5140,1,1,0,0,6.00127,0.05706,2.043,6.26,2.92,0.41,,790.0,K3.5 V,0.69,-0.676,4.62,,,,,
5142,2,3,0,0,2.61586178,0.0368,11.131,179.89178,0.715,,,,,0.97,,4.43,,,,,
5147,1,1,0,0,4.1877558,0.0515,12.78,378.2,1.06,0.0,,1230.0,,1.04,,4.35,,,,,
5148,1,1,0,0,3.7650007,0.0815,23.203,1398.452,0.62,0.0,,1577.0,F5,1.47,,4.04,,,,,
5149,1,1,0,0,2.8641424,0.04421,15.39,225.34147,0.34,0.038,1540.0,1743.0,G0 V,1.41,,4.25,,,,,
